year,mo,da,temp,dewp,visib,wdsp,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
1973,10,28,50.0,38.2,15.7,8.5,0.0,0,0,0,0,0,0
1973,10,29,53.3,50.6,6.6,15.5,0.75,1,1,0,0,1,0
1973,10,30,55.9,49.5,12.4,10.5,2.28,1,1,0,0,1,0
1973,10,31,53.1,42.5,14.8,8.2,0.14,0,1,0,0,0,0
1973,11,01,56.9,44.6,13.8,16.3,0.13,1,1,0,0,0,0
1973,11,02,56.9,33.4,19.7,13.6,0.0,0,0,0,0,0,0
1973,11,03,58.3,38.1,19.9,12.3,0.0,0,0,0,0,0,0
1973,11,04,47.1,27.0,19.9,12.0,0.0,0,0,0,0,0,0
1973,11,05,44.6,27.0,19.1,8.0,0.0,0,0,0,0,0,0
1973,11,06,40.8,23.8,19.7,13.2,0.0,0,0,0,0,0,0
1973,11,07,41.4,24.1,19.9,11.1,0.0,0,0,0,0,0,0
1973,11,08,41.9,26.5,14.5,7.2,0.0,0,0,0,0,0,0
1973,11,09,45.8,25.2,15.4,9.9,0.0,0,0,0,0,0,0
1973,11,10,35.5,18.8,19.9,12.9,0.0,0,0,0,0,0,0
1973,11,11,35.5,21.4,19.1,7.4,0.0,0,0,0,0,0,0
1973,11,12,41.8,25.6,14.0,6.2,0.0,0,0,0,0,0,0
1973,11,13,49.5,32.5,8.6,8.7,0.0,0,0,0,0,0,0
1973,11,14,59.1,40.2,9.5,10.0,0.0,0,0,0,0,0,0
1973,11,15,61.9,48.3,8.2,8.1,0.0,0,0,0,0,0,0
1973,11,16,60.6,46.4,14.7,14.2,0.04,0,1,0,0,0,0
1973,11,17,39.7,20.7,19.9,13.7,0.0,0,0,0,0,0,0
1973,11,18,39.7,24.7,17.5,9.6,0.0,0,0,0,0,0,0
1973,11,19,47.4,34.8,9.7,7.1,0.01,0,1,0,0,0,0
1973,11,20,42.5,26.9,12.6,7.3,0.0,0,0,0,0,0,0
1973,11,21,43.5,32.7,7.0,5.0,99.99,0,1,0,0,0,0
1973,11,22,57.0,49.1,10.5,4.6,0.04,0,1,0,0,0,0
1973,11,23,53.6,42.6,8.1,3.7,0.0,0,0,0,0,0,0
1973,11,24,52.9,43.1,7.4,6.4,99.99,1,1,0,0,0,0
1973,11,25,57.0,51.6,4.1,8.2,0.25,1,1,0,0,0,0
1973,11,26,45.8,34.7,12.1,8.9,0.12,0,0,0,0,0,0
1973,11,27,51.2,47.3,3.9,6.5,0.02,1,1,0,0,0,0
1973,11,28,59.1,54.6,4.0,7.3,0.47,1,1,0,0,0,0
1973,11,29,50.6,34.8,19.0,13.9,0.2,0,1,0,0,0,0
1973,11,30,43.6,25.4,19.3,12.7,0.0,0,0,0,0,0,0
1973,12,01,44.1,25.0,19.7,12.4,0.0,0,0,0,0,0,0
1973,12,02,34.0,18.4,19.3,8.3,0.0,0,0,0,0,0,0
1973,12,03,40.4,29.3,12.8,6.1,0.0,0,0,0,0,0,0
1973,12,04,49.0,36.4,7.6,6.3,0.0,0,0,0,0,0,0
1973,12,05,58.2,52.1,7.1,6.4,0.31,1,1,0,0,0,0
1973,12,06,55.4,40.5,16.0,11.7,0.94,1,1,0,0,1,0
1973,12,07,41.7,26.5,19.5,8.0,0.0,0,0,0,0,0,0
1973,12,08,37.9,26.3,15.8,10.6,0.0,0,0,0,0,0,0
1973,12,09,45.1,39.5,6.5,13.8,0.28,1,1,0,0,0,0
1973,12,10,45.7,34.4,12.8,11.2,0.91,0,1,0,0,0,0
1973,12,11,40.0,29.5,10.0,9.8,0.0,0,1,1,0,0,0
1973,12,12,35.7,22.3,15.5,9.1,0.0,0,0,0,0,0,0
